,(0)linux time (ms),    (1)uptime  (ms),      (2)drive mode,(3)mpc step counter,(4)mpc origin latitude  (deg),(5)mpc origin longitude  (deg),(6)closest trajectory point index to robot,(7)mpc error x (W;E)  (m),(8)mpc error y (W;E)  (m),(9)abs mpc error (m),(10)input [x] for mhe (m),(11)input [y] for mhe (m),(12)input [speed] for mhe (m/s),(13)input [vyaw] for mhe (rad/s),(14)mhe output x  (m),(15)mhe output y  (m),(16)mhe output speed  (m/s),(17)mhe output yaw  (rad),(18)mpc reference heading (rad),(19)mpc turn rate command (rad/s),(20)turn rate command as PWM,(21)throttle command as PWM,(22)primary gps latitude (deg),(23)primary gps longitude (deg),(24)secondary gps latitude  (deg),(25)secondary gps longitude (deg),(26)accelerometer x (m/s^2),(27)accelerometer y (m/s^2),(28)accelerometer z (m/s^2),(29)gyro yaw rate (rad/s),(30)gyro pitch rate   (rad/s),(31)gyro roll rate (rad/s),      (32)yaw (rad),  (33)pitch   (rad),     (34)roll (rad),(35)sonar1 measurement (m),(36)ultrasonic sensor measurement (m),(37)primary gps time (s),(38)normalized turn rate command,(39)normalized throttle command,(40)speed calculation from encoder left (m/s),(41)speed calculation from encoder right (m/s),(42)front gimbal target angle (degrees from straight down),(43)left gimbal target angle  (degrees from straight down),(44)right gimbal target angle  (degrees from straight down),(45)front gimbal measured angle  (degrees from straight down),(46)left gimbal measured angle    (degrees from straight down),(47)right gimbal measured angle  (degrees from straight down),(48)internal temperature (C),(49)battery voltage (V),(50)primary gps type,(51)secondary gps type,    (52)MPC R value, (53)MPC Q[0] value,Unnamed: 54,weed_num,start
0,1531767891695,26695, AUTO,0,40.0434592604,-88.2344147,0,-313.5037974869,396.998593626,505.8581959202,-315.65603618069997,396.75160808550004,0.5466518402,0.0,-315.62432110279997,398.09762749370003,0.1859201232,-0.8898803639,0.0,0.0,1500,1750,40.0470273333,-88.2307065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.5297299027000001,0.5635737777000001,90.0,57.0,57.0,79.7047958374,121.59437561040001,124.07718658450001,25.540000915500002,16.1829986572,27.159999847399998,2,-1,10,1,74,0
1,1531767891895,26895, AUTO,0,40.0434592604,-88.2344147,0,-313.5037974869,396.998593626,505.8581959202,-315.65603618069997,396.75160808550004,0.5341442823,0.0,-315.62432110279997,398.09762749370003,0.1859201232,-0.8898803639,0.0,0.0,1470,1750,40.0470273333,-88.2307065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0600000024,0.5,0.5567681789,0.5115204453,90.0,57.0,57.0,93.01014709469999,121.0214157104,123.88619995120001,25.540000915500002,16.1829986572,27.159999847399998,2,-1,10,1,74,0
2,1531767892096,27096, AUTO,0,40.0434592604,-88.2344147,0,-313.5037974869,396.998593626,505.8581959202,-315.65603618069997,396.75160808550004,0.5401221514,0.0,-315.62432110279997,398.09762749370003,0.1859201232,-0.8898803639,0.0,0.0,1530,1750,40.0470273333,-88.2307065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.059999942800000004,0.5,0.5181420445,0.5621022582,90.0,57.0,57.0,91.4186019897,123.56790161129999,120.32112884520001,25.540000915500002,16.1829986572,27.159999847399998,2,-1,10,1,74,0
3,1531767892297,27297, AUTO,0,40.0434592604,-88.2344147,0,-313.5037974869,396.998593626,505.8581959202,-315.65603618069997,396.75160808550004,0.5018638968,0.0,-315.62432110279997,398.09762749370003,0.1859201232,-0.8898803639,0.0,0.0,1480,1750,40.0470273333,-88.2307065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.040000021499999996,0.5,0.5236600637,0.4800677299,90.0,57.0,57.0,85.1160583496,121.7217025757,122.8039627075,25.540000915500002,16.1829986572,27.159999847399998,2,-1,10,1,74,0
4,1531767892497,27497, AUTO,0,40.0434592604,-88.2344147,0,-313.5037974869,396.998593626,505.8581959202,-315.65603618069997,396.75160808550004,0.5426052809,0.0,-315.62432110279997,398.09762749370003,0.1859201232,-0.8898803639,0.0,0.0,1610,1750,40.0470273333,-88.2307065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.5538252592,0.5313853025,90.0,57.0,57.0,89.82704925540001,122.6129760742,122.8039627075,25.540000915500002,16.1829986572,27.159999847399998,2,-1,10,1,74,0
5,1531767892698,27698, AUTO,0,40.0434592604,-88.2344147,0,-313.6203767609,396.48358591769994,505.5264331584,-315.8262937979,396.2697634031,0.5406739711999999,0.0,-315.7409003768,397.5826197854,0.3862125587,-2.1157821772,0.0,0.0,1520,1750,40.047023,-88.2307045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0399999619,0.5,0.5873012543,0.4940466881,90.0,57.0,57.0,88.55381011959999,122.5493011475,120.7031021118,24.4640007019,16.1640853882,6.4300003052,2,-1,10,1,74,0
6,1531767892899,27899, AUTO,0,40.0434592604,-88.2344147,0,-313.6203767609,396.48358591769994,505.5264331584,-315.8262937979,396.2697634031,0.5314772725,0.0,-315.7409003768,397.5826197854,0.3862125587,-2.1157821772,0.0,0.0,1480,1750,40.047023,-88.2307045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.040000021499999996,0.5,0.5861976147,0.47675690049999997,90.0,57.0,57.0,89.5724029541,122.10367584229999,122.4219894409,24.4640007019,16.1640853882,6.4300003052,2,-1,10,1,74,0
7,1531767893099,28099, AUTO,0,40.0434592604,-88.2344147,0,-313.6203767609,396.48358591769994,505.5264331584,-315.8262937979,396.2697634031,0.5522618294,0.0,-315.7409003768,397.5826197854,0.3862125587,-2.1157821772,0.0,0.0,1440,1750,40.047023,-88.2307045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1200000048,0.5,0.6064303517,0.4980932474,90.0,57.0,57.0,90.0816955566,122.8039627075,121.7853622437,24.4640007019,16.1640853882,6.4300003052,2,-1,10,1,74,0
8,1531767893300,28300, AUTO,0,40.0434592604,-88.2344147,0,-313.6203767609,396.48358591769994,505.5264331584,-315.8262937979,396.2697634031,0.5396623611,0.0,-315.7409003768,397.5826197854,0.3862125587,-2.1157821772,0.0,0.0,1490,1750,40.047023,-88.2307045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.019999980900000002,0.5,0.6130520105,0.4662726521,90.0,57.0,57.0,89.9543762207,122.10367584229999,122.6129760742,24.4640007019,16.1640853882,6.4300003052,2,-1,10,1,74,0
9,1531767893501,28501, AUTO,0,40.0434592604,-88.2344147,0,-313.6203767609,396.48358591769994,505.5264331584,-315.8263046076,395.7508537453,0.5569521189,0.0,-315.7409003768,397.5826197854,0.3862125587,-2.1157821772,0.0,0.0,1540,1750,40.0470183333,-88.2307045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0800000429,0.5,0.5481233001,0.5657809377,90.0,57.0,57.0,89.6997299194,123.6952209473,120.2574768066,24.4640007019,16.1640853882,6.4300003052,2,-1,10,1,74,0
