,(0)linux time (ms),    (1)uptime  (ms),      (2)drive mode,(3)mpc step counter,(4)mpc origin latitude  (deg),(5)mpc origin longitude  (deg),(6)closest trajectory point index to robot,(7)mpc error x (W;E)  (m),(8)mpc error y (W;E)  (m),(9)abs mpc error (m),(10)input [x] for mhe (m),(11)input [y] for mhe (m),(12)input [speed] for mhe (m/s),(13)input [vyaw] for mhe (rad/s),(14)mhe output x  (m),(15)mhe output y  (m),(16)mhe output speed  (m/s),(17)mhe output yaw  (rad),(18)mpc reference heading (rad),(19)mpc turn rate command (rad/s),(20)turn rate command as PWM,(21)throttle command as PWM,(22)primary gps latitude (deg),(23)primary gps longitude (deg),(24)secondary gps latitude  (deg),(25)secondary gps longitude (deg),(26)accelerometer x (m/s^2),(27)accelerometer y (m/s^2),(28)accelerometer z (m/s^2),(29)gyro yaw rate (rad/s),(30)gyro pitch rate   (rad/s),(31)gyro roll rate (rad/s),      (32)yaw (rad),  (33)pitch   (rad),     (34)roll (rad),(35)sonar1 measurement (m),(36)ultrasonic sensor measurement (m),(37)primary gps time (s),(38)normalized turn rate command,(39)normalized throttle command,(40)speed calculation from encoder left (m/s),(41)speed calculation from encoder right (m/s),(42)front gimbal target angle (degrees from straight down),(43)left gimbal target angle  (degrees from straight down),(44)right gimbal target angle  (degrees from straight down),(45)front gimbal measured angle  (degrees from straight down),(46)left gimbal measured angle    (degrees from straight down),(47)right gimbal measured angle  (degrees from straight down),(48)internal temperature (C),(49)battery voltage (V),(50)primary gps type,(51)secondary gps type,    (52)MPC R value, (53)MPC Q[0] value,Unnamed: 54,weed_num,start
0,1532113980704,126704, AUTO,0,40.0434592604,-88.2344147,0,-110.11188133729999,518.1234923431,529.6947986619,-112.22345997010001,519.2328197843,0.35646408799999996,0.0,-112.2324049532,519.2225262108,0.47188535509999996,-18.771607112999998,0.0,0.0,1610,1750,40.0481288333,-88.2330963333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.3522335887,0.3606945574,90.0,60.0,60.0,89.12677001950001,119.1115570068,119.3662033081,34.1479988098,16.1637096405,41.1399993896,2,-1,10,1,58,0
1,1532113980904,126904, AUTO,0,40.0434592604,-88.2344147,0,-110.0279242144,518.185859761,529.7383593465,-112.2376472906,519.2142872955001,0.3434967399,0.0,-112.1484478303,519.2848936287,0.4819245956,-18.644986357,0.0,0.0,1610,1750,40.0481286667,-88.2330961667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.3251952827,0.36179816719999996,90.0,60.0,60.0,90.2726821899,119.5571899414,118.7932434082,35.223999023400005,16.1637096405,41.1399993896,2,-1,10,1,58,0
2,1532113981105,127105, AUTO,0,40.0434592604,-88.2344147,0,-110.0279242144,518.185859761,529.7383593465,-112.2376472906,519.2142872955001,0.3381626606,0.0,-112.1484478303,519.2848936287,0.4819245956,-18.644986357,0.0,0.0,1610,1750,40.0481286667,-88.2330961667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.3189415336,0.35738375780000003,90.0,60.0,60.0,91.3549346924,119.5571899414,118.9205703735,35.223999023400005,16.1637096405,41.1399993896,2,-1,10,1,130,11
3,1532113981305,127305, AUTO,0,40.0434592604,-88.2344147,0,-110.0279242144,518.185859761,529.7383593465,-112.2376472906,519.2142872955001,0.3440485299,0.0,-112.1484478303,519.2848936287,0.4819245956,-18.644986357,0.0,0.0,1610,1750,40.0481286667,-88.2330961667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.337150991,0.3509460688,90.0,60.0,60.0,88.235496521,118.9205703735,119.0479049683,35.223999023400005,16.1637096405,41.1399993896,2,-1,10,1,260,20
4,1532113981506,127506, AUTO,0,40.0434592604,-88.2344147,0,-110.0279242144,518.185859761,529.7383593465,-112.2376472906,519.2142872955001,0.34368065,0.0,-112.1484478303,519.2848936287,0.4819245956,-18.644986357,0.0,0.0,1610,1750,40.0481286667,-88.2330961667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.3354955912,0.3518657088,90.0,60.0,60.0,88.8084564209,118.4749450684,119.42987060549999,35.223999023400005,16.1505050659,44.0499992371,2,-1,10,1,171,30
5,1532113981706,127706, AUTO,0,40.0434592604,-88.2344147,0,-110.0279242144,518.185859761,529.7383593465,-112.2376472906,519.2142872955001,0.3679599762,0.0,-112.1484478303,519.2848936287,0.4819245956,-18.644986357,0.0,0.0,1610,1750,40.0481286667,-88.2330961667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.38515779380000004,0.3507621288,90.0,60.0,60.0,89.44507598879999,117.9019851685,120.32112884520001,35.223999023400005,16.1505050659,44.0499992371,2,-1,10,1,180,39
6,1532113981907,127907, AUTO,0,40.0434592604,-88.2344147,0,-109.96112895690001,518.1818757994,529.7205926604,-112.2092736098,519.1216248572,0.3514058888,0.0,-112.08165257280001,519.2809096671,0.4745326712,-18.6381756362,0.0,0.0,1610,1750,40.0481278333,-88.2330965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.3665804267,0.33623135090000006,90.0,60.0,60.0,89.6997299194,121.6580352783,119.3662033081,35.223999023400005,16.1505050659,44.0499992371,2,-1,10,1,240,48
7,1532113982107,128107, AUTO,0,40.0434592604,-88.2344147,0,-109.96112895690001,518.1818757994,529.7205926604,-112.2092736098,519.1216248572,0.2968694568,0.0,-112.08165257280001,519.2809096671,0.4745326712,-18.6381756362,0.0,0.0,1610,1750,40.0481278333,-88.2330965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.3303454518,0.2633934617,90.0,60.0,60.0,89.44507598879999,115.0371856689,119.87550354,35.223999023400005,16.1505050659,44.0499992371,2,-1,10,1,289,57
8,1532113982307,128307, AUTO,0,40.0434592604,-88.2344147,0,-109.96112895690001,518.1818757994,529.7205926604,-112.2092736098,519.1216248572,0.2844539285,0.0,-112.08165257280001,519.2809096671,0.4745326712,-18.6381756362,0.0,0.0,1610,1750,40.0481278333,-88.2330965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.3610624373,0.20784540469999999,90.0,60.0,60.0,89.5087432861,117.4563446045,119.4935302734,35.223999023400005,16.1505050659,44.0499992371,2,-1,10,1,376,66
9,1532113982508,128508, AUTO,0,40.0434592604,-88.2344147,0,-109.96112895690001,518.1818757994,529.7205926604,-112.2092736098,519.1216248572,0.2923630774,0.0,-112.08165257280001,519.2809096671,0.4745326712,-18.6381756362,0.0,0.0,1610,1750,40.0481278333,-88.2330965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22000002859999998,0.5,0.39141154289999996,0.1933146268,90.0,60.0,60.0,89.5087432861,122.1673278809,119.4935302734,35.223999023400005,16.1216869354,34.0299987793,2,-1,10,1,286,74
