,(0)linux time (ms),    (1)uptime  (ms),      (2)drive mode,(3)mpc step counter,(4)mpc origin latitude  (deg),(5)mpc origin longitude  (deg),(6)closest trajectory point index to robot,(7)mpc error x (W;E)  (m),(8)mpc error y (W;E)  (m),(9)abs mpc error (m),(10)input [x] for mhe (m),(11)input [y] for mhe (m),(12)input [speed] for mhe (m/s),(13)input [vyaw] for mhe (rad/s),(14)mhe output x  (m),(15)mhe output y  (m),(16)mhe output speed  (m/s),(17)mhe output yaw  (rad),(18)mpc reference heading (rad),(19)mpc turn rate command (rad/s),(20)turn rate command as PWM,(21)throttle command as PWM,(22)primary gps latitude (deg),(23)primary gps longitude (deg),(24)secondary gps latitude  (deg),(25)secondary gps longitude (deg),(26)accelerometer x (m/s^2),(27)accelerometer y (m/s^2),(28)accelerometer z (m/s^2),(29)gyro yaw rate (rad/s),(30)gyro pitch rate   (rad/s),(31)gyro roll rate (rad/s),      (32)yaw (rad),  (33)pitch   (rad),     (34)roll (rad),(35)sonar1 measurement (m),(36)ultrasonic sensor measurement (m),(37)primary gps time (s),(38)normalized turn rate command,(39)normalized throttle command,(40)speed calculation from encoder left (m/s),(41)speed calculation from encoder right (m/s),(42)front gimbal target angle (degrees from straight down),(43)left gimbal target angle  (degrees from straight down),(44)right gimbal target angle  (degrees from straight down),(45)front gimbal measured angle  (degrees from straight down),(46)left gimbal measured angle    (degrees from straight down),(47)right gimbal measured angle  (degrees from straight down),(48)internal temperature (C),(49)battery voltage (V),(50)primary gps type,(51)secondary gps type,    (52)MPC R value, (53)MPC Q[0] value,Unnamed: 54,weed_num,start
0,1532115359272,60272, RC,0,40.0434592604,-88.2344147,0,-108.5893015492,514.8586099044,526.1853519471,-110.27984021190001,515.8784394971,0.0013795048999999998,0.0,-110.7098251651,515.9576437721,0.34441558229999997,-1.2846242261,0.0,0.0,1500,1500,40.0480986667,-88.2331191667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0023911418,-0.00036786800000000004,90.0,60.0,60.0,89.9543762207,119.1115570068,119.62085723879999,36.2999992371,16.057592392,1.1999999285,2,-1,10,1,23,0
1,1532115359473,60473, RC,0,40.0434592604,-88.2344147,0,-108.5893015492,514.8586099044,526.1853519471,-110.27984021190001,515.8784394971,0.0013795048999999998,0.0,-110.7098251651,515.9576437721,0.34441558229999997,-1.2846242261,0.0,0.0,1500,1500,40.0480986667,-88.2331191667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0009196699,-0.0018393398,90.0,60.0,60.0,89.9543762207,119.1115570068,119.7481765747,36.2999992371,16.057592392,1.1999999285,2,-1,10,1,23,0
2,1532115359673,60673, RC,0,40.0434592604,-88.2344147,0,-108.5893015492,514.8586099044,526.1853519471,-110.27984021190001,515.8784394971,0.000643769,0.0,-110.7098251651,515.9576437721,0.34441558229999997,-1.2846242261,0.0,0.0,1500,1500,40.0480986667,-88.2331191667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.000551802,-0.0007357360000000001,90.0,60.0,60.0,89.9543762207,119.1115570068,119.81184387209998,36.2999992371,16.095092773399998,0.3100000024,2,-1,10,1,86,10
3,1532115359874,60874, RC,0,40.0434592604,-88.2344147,0,-108.4797196904,514.7917193741,526.0972951083,-110.2656538342,515.76724457,0.0013795048999999998,0.0,-110.60024330629999,515.8907532418,0.3652141296,-1.1350549282,0.0,0.0,1500,1500,40.0480976667,-88.2331193333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.001103604,-0.0016554058999999999,90.0,60.0,60.0,89.9543762207,119.3025436401,119.87550354,36.2999992371,16.095092773399998,0.3100000024,2,-1,10,1,241,19
4,1532115360074,61074, RC,0,40.0434592604,-88.2344147,0,-108.4797196904,514.7917193741,526.0972951083,-110.2656538342,515.76724457,0.001103604,0.0,-110.60024330629999,515.8907532418,0.3652141296,-1.1350549282,0.0,0.0,1500,1500,40.0480976667,-88.2331193333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0016554058999999999,-0.000551802,90.0,60.0,60.0,89.9543762207,119.3025436401,120.00283050540001,36.2999992371,16.095092773399998,0.3100000024,2,-1,10,1,345,28
5,1532115360275,61275, RC,0,40.0434592604,-88.2344147,0,-108.4797196904,514.7917193741,526.0972951083,-110.2656538342,515.76724457,0.0011955709,0.0,-110.60024330629999,515.8907532418,0.3652141296,-1.1350549282,0.0,0.0,1500,1500,40.0480976667,-88.2331193333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.000551802,-0.0018393398,90.0,60.0,60.0,89.9543762207,119.3025436401,119.4935302734,36.2999992371,16.095092773399998,0.3100000024,2,-1,10,1,276,36
6,1532115360476,61476, RC,0,40.0434592604,-88.2344147,0,-108.4797196904,514.7917193741,526.0972951083,-110.2656538342,515.76724457,0.0006437689,0.0,-110.60024330629999,515.8907532418,0.3652141296,-1.1350549282,0.0,0.0,1500,1500,40.0480976667,-88.2331193333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00036786800000000004,-0.0009196699,90.0,60.0,60.0,89.8907089233,119.3025436401,119.5571899414,36.2999992371,16.095092773399998,0.3100000024,2,-1,10,1,301,45
7,1532115360676,61676, RC,0,40.0434592604,-88.2344147,0,-108.4797196904,514.7917193741,526.0972951083,-110.2656538342,515.76724457,0.00018393400000000002,0.0,-110.60024330629999,515.8907532418,0.3652141296,-1.1350549282,0.0,0.0,1500,1500,40.0480976667,-88.2331193333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.00036786800000000004,90.0,60.0,60.0,89.8907089233,119.3025436401,119.5571899414,36.2999992371,16.1325778961,0.2699999809,2,-1,10,1,312,53
8,1532115360877,61877, RC,0,40.0434592604,-88.2344147,0,-108.37323809450001,514.6907924592,525.9765874802,-110.2372818866,515.4336597902,0.00018393400000000002,0.0,-110.49376171040001,515.7898263269,0.3970495408,-1.0103619093,0.0,0.0,1500,1500,40.0480946667,-88.2331196667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00036786800000000004,0.0,90.0,60.0,60.0,89.82704925540001,119.3025436401,119.62085723879999,36.2999992371,16.1325778961,0.2699999809,2,-1,10,1,341,62
9,1532115361078,62078, RC,0,40.0434592604,-88.2344147,0,-108.37323809450001,514.6907924592,525.9765874802,-110.2372818866,515.4336597902,0.000551802,0.0,-110.49376171040001,515.7898263269,0.3970495408,-1.0103619093,0.0,0.0,1500,1500,40.0480946667,-88.2331196667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.001103604,0.0,90.0,60.0,60.0,89.82704925540001,119.3025436401,119.42987060549999,36.2999992371,16.1325778961,0.2699999809,2,-1,10,1,315,71
