,(0)linux time (ms),    (1)uptime  (ms),      (2)drive mode,(3)mpc step counter,(4)mpc origin latitude  (deg),(5)mpc origin longitude  (deg),(6)closest trajectory point index to robot,(7)mpc error x (W;E)  (m),(8)mpc error y (W;E)  (m),(9)abs mpc error (m),(10)input [x] for mhe (m),(11)input [y] for mhe (m),(12)input [speed] for mhe (m/s),(13)input [vyaw] for mhe (rad/s),(14)mhe output x  (m),(15)mhe output y  (m),(16)mhe output speed  (m/s),(17)mhe output yaw  (rad),(18)mpc reference heading (rad),(19)mpc turn rate command (rad/s),(20)turn rate command as PWM,(21)throttle command as PWM,(22)primary gps latitude (deg),(23)primary gps longitude (deg),(24)secondary gps latitude  (deg),(25)secondary gps longitude (deg),(26)accelerometer x (m/s^2),(27)accelerometer y (m/s^2),(28)accelerometer z (m/s^2),(29)gyro yaw rate (rad/s),(30)gyro pitch rate   (rad/s),(31)gyro roll rate (rad/s),      (32)yaw (rad),  (33)pitch   (rad),     (34)roll (rad),(35)sonar1 measurement (m),(36)ultrasonic sensor measurement (m),(37)primary gps time (s),(38)normalized turn rate command,(39)normalized throttle command,(40)speed calculation from encoder left (m/s),(41)speed calculation from encoder right (m/s),(42)front gimbal target angle (degrees from straight down),(43)left gimbal target angle  (degrees from straight down),(44)right gimbal target angle  (degrees from straight down),(45)front gimbal measured angle  (degrees from straight down),(46)left gimbal measured angle    (degrees from straight down),(47)right gimbal measured angle  (degrees from straight down),(48)internal temperature (C),(49)battery voltage (V),(50)primary gps type,(51)secondary gps type,    (52)MPC R value, (53)MPC Q[0] value,Unnamed: 54,weed_num,start
0,1530902141566,200566, RC,0,39.9586186,-88.445067899,0,-17886.7863199673,9424.7087729674,20217.8698262557,-17886.611512088202,9422.343457815601,0.1561599672,0.0,-17886.7760929526,9422.3314506015,0.5332945370000001,9.3215625007,0.0,0.0,1500,1500,40.0433557705,-88.235079446,40.0434143333,-88.2352576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183532,0.0,0.0,0.1543206275,0.15799929199999999,90.0,90.0,90.0,96.44789123540001,92.69184112549999,95.4929656982,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,54,3054
1,1530902141618,200618, RC,0,39.9586186,-88.445067899,0,-17886.7863199673,9424.7087729674,20217.8698262557,-17886.611512088202,9422.343457815601,0.1282939613,0.0,-17886.7760929526,9422.3314506015,0.5332945370000001,9.3215625007,0.0,0.0,1500,1500,40.0433557705,-88.235079446,40.0434143333,-88.2352576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183532,0.0,0.0,0.1267305166,0.1298573911,90.0,90.0,90.0,95.8749313354,93.2648010254,95.23831939700001,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,61,3057
2,1530902141668,200668, RC,0,39.9586186,-88.445067899,0,-17886.8066465031,9424.7167017311,20217.8915052306,-17886.6070870787,9422.3398069151,0.0966573134,0.0,-17886.7964194884,9422.3393793652,0.5051900027,9.3127090735,0.0,0.0,1500,1500,40.0433557377,-88.23507949799999,40.0434143333,-88.2352576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183533,0.0,0.0,0.0954617411,0.0978528857,90.0,90.0,90.0,95.3019790649,95.36563873290001,95.174659729,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,59,3059
3,1530902141719,200719, RC,0,39.9586186,-88.445067899,0,-17886.8066465031,9424.7167017311,20217.8915052306,-17886.5964125598,9422.3507966802,0.0799193159,0.0,-17886.7964194884,9422.3393793652,0.5051900027,9.3127090735,0.0,0.0,1500,1500,40.0433558365,-88.2350796232,40.0434143333,-88.2352576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183533,0.0,0.0,0.078907676,0.0809309557,90.0,90.0,90.0,95.23831939700001,95.36563873290001,95.23831939700001,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,52,3062
4,1530902141769,200769, RC,0,39.9586186,-88.445067899,0,-17886.81693654,9424.7265398399,20217.9051949518,-17886.5964125598,9422.3507966802,0.0605142824,0.0,-17886.8067095253,9422.349217474,0.4745701173,9.2954708591,0.0,0.0,1500,1500,40.0433558365,-88.2350796232,40.0434143333,-88.2352576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183533,0.0,0.0,0.0595946126,0.061433952300000004,90.0,90.0,90.0,95.174659729,95.36563873290001,95.23831939700001,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,52,3064
5,1530902141819,200819, RC,0,39.9586186,-88.445067899,0,-17886.81693654,9424.7265398399,20217.9051949518,-17886.579337338102,9422.3601555875,0.04984611269999999,0.0,-17886.8067095253,9422.349217474,0.4745701173,9.2954708591,0.0,0.0,1500,1500,40.0433559207,-88.2350798235,40.0434143333,-88.2352576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183533,0.0,0.0,0.0492943078,0.050397913899999994,90.0,90.0,90.0,95.4929656982,95.42930603030001,95.3019790649,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,61,3067
6,1530902141870,200870, RC,0,39.9586186,-88.445067899,0,-17886.8189125701,9424.7383068173,20217.9124284152,-17886.579337338102,9422.3601555875,0.0368787646,0.0,-17886.8086855554,9422.3609844514,0.4411210455,9.2700290565,0.0,0.0,1500,1500,40.0433559207,-88.2350798235,40.0434143333,-88.2352576667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183533,0.0,0.0,0.036418929700000005,0.0373386033,90.0,90.0,90.0,95.4929656982,95.3019790649,95.36563873290001,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,55,3069
7,1530902141920,200920, RC,0,39.9586186,-88.445067899,0,-17886.8189125701,9424.7383068173,20217.9124284152,-17886.5671146994,9422.3717383921,0.0296133738,0.0,-17886.8086855554,9422.3609844514,0.4411210455,9.2700290565,0.0,0.0,1500,1500,40.0433560248,-88.2350799668,40.0434173333,-88.2352491667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183533,0.0,0.0,0.0296133738,0.0296133738,90.0,90.0,90.0,95.4929656982,95.04733276370001,95.74761199950001,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,50,3072
8,1530902141971,200971, RC,0,39.9586186,-88.445067899,0,-17886.8138290176,9424.7526374497,20217.9146113305,-17886.558034774,9422.3788363347,0.0228997823,0.0,-17886.8036020029,9422.3753150838,0.4064675994,9.2316886128,0.0,0.0,1500,1500,40.0433560887,-88.2350800733,40.0434173333,-88.2352491667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183533,0.0,0.0,0.0226238817,0.0231756829,90.0,90.0,90.0,95.4929656982,94.9200057983,96.12958526610001,29.3059997559,15.425028801,7.9700002670000005,0,2,25,1,56,3074
9,1530902142021,201021, RC,0,39.9586186,-88.445067899,0,-17886.8028207564,9424.7682713449,20217.9121601903,-17886.558034774,9422.3788363347,0.0190371685,0.0,-17886.7925937417,9422.390948979,0.37177302310000004,9.1807347556,0.0,0.0,1500,1500,40.0433560887,-88.2350800733,40.0434173333,-88.2352491667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183533,0.0,0.0,0.0187612679,0.0193130691,90.0,90.0,90.0,95.62029266360001,94.7926864624,96.12958526610001,28.768001556399998,15.425028801,7.9700002670000005,0,2,25,1,59,3076
