,linux time (ms),uptime  (ms),drive mode ,mpc step counter,mpc origin latitude  (deg),mpc origin longitude  (deg),closest trajectory point index to robot  ,"mpc error x (W,E)  (m)","mpc error y (W,E)  (m)",abs mpc error (m),"input ""x"" for mhe (m)","input ""y"" for mhe (m)","input ""speed"" for mhe (m/s)","input ""vyaw"" for mhe (rad/s)",mhe output x  (m),mhe output y  (m),mhe output speed  (m/s),mhe output yaw  (rad),mpc reference heading (rad),mpc turn rate command (rad/s),turn rate command as PWM,throttle command as PWM ,primary gps latitude (deg),primary gps longitude (deg),secondary gps latitude  (deg),secondary gps longitude (deg),accelerometer x (m/s^2),accelerometer y (m/s^2),accelerometer z (m/s^2),gyro yaw rate (rad/s),gyro pitch rate   (rad/s),gyro roll rate (rad/s),yaw (rad),pitch   (rad),roll (rad),sonar1 measurement (m),ultrasonic sensor measurement (m),primary gps time (s),normalized turn rate command,normalized throttle command ,speed calculation from encoder left (m/s),speed calculation from encoder right (m/s),front gimbal target angle (degrees from straight down),left gimbal target angle  (degrees from straight down),right gimbal target angle  (degrees from straight down) ,front gimbal measured angle  (degrees from straight down),left gimbal measured angle    (degrees from straight down),right gimbal measured angle  (degrees from straight down),internal temperature (C),battery voltage (V),primary gps type,secondary gps type,MPC R value,MPC Q[0] value,weed_num,start
10,1527886328105,1096105, RC,0,40.0483048792,-88.2326839842,0,1.3916767511,22.1450874344,22.1887733248,1.677770313,19.7858362162,0.171426475,-0.0244346091,1.5544150084,19.7700167777,0.0458147162,2.1555460188,0,0,1500,1565,40.0484828175,-88.232702787,40.048485,-88.2327006667,0.0,-0.6864655018,-9.9047164917,-0.0244346091,-0.0254818077,-0.005235988,0,0,0,0,0,205143,0.0,0.1316629648,0.1662763208,0.1765766293,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,259,107
11,1527886328305,1096305, RC,0,40.0483048792,-88.2326839842,0,1.4121115453,22.1477849452,22.1927564082,1.7122453654,19.7905805321,0.170874685,-0.0031415928,1.5748498026,19.7727142885,0.0671612097,2.1473075193,0,0,1500,1565,40.0484828602,-88.2327031955,40.048485,-88.2327006667,0.490332514,0.3922660053,-10.5911827087,0.0383972444,0.1308996939,-0.101054563,0,0,0,0,0,205143,0.0,0.1316629648,0.1697710752,0.1719782799,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,260,116
12,1527886328506,1096506, RC,0,40.0483048792,-88.2326839842,0,1.424418205,22.1494076408,22.195162222,1.7290553513,19.7918036769,0.1652646959,-0.0734783622,1.5871564623,19.7743369841,0.077610671,2.1449013773,0,0,1500,1565,40.0484828712,-88.2327034008,40.0484851667,-88.2327006667,-0.1961330026,-1.0787315369,-10.5911827087,0.0659734452,0.1213003797,0.0745255587,0,0,0,0,0,205143,0.0,0.1316629648,0.1614940464,0.1690353453,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,265,125
13,1527886328707,1096707, RC,0,40.0483048792,-88.2326839842,0,1.4390433579,22.1499633951,22.1966602035,1.767885292,19.7762549195,0.1633333862,-0.0202458187,1.6017816152,19.7748927384,0.0876417382,2.129100802,0,0,1500,1565,40.0484827313,-88.2327038603,40.0484851667,-88.2327006667,0.588398993,-0.8825985193,-10.2969818115,0.0041887901,-0.0041887901,-0.1989675281,0,0,0,0,0,205143,0.0,0.1316629648,0.1642530411,0.1624137163,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,274,134
14,1527886328908,1096908, RC,0,40.0483048792,-88.2326839842,0,1.4557071114,22.1504522967,22.1982346177,1.8013573698,19.7748835148,0.1588270068,0.0542797379,1.6184453687,19.77538164,0.0973527224,2.1221793846,0,0,1500,1565,40.048482719,-88.2327042755,40.0484851667,-88.2327006667,2.3535959721,0.490332514,-12.2583122253,0.0308923274,-0.0787143533,0.0925024537,0,0,0,0,0,205143,0.0,0.1316629648,0.1568956822,0.1607583165,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,282,142
15,1527886329109,1097109, RC,0,40.0483048792,-88.2326839842,0,1.4731618219,22.1514369452,22.2003685665,1.8136847561,19.783445525,0.1598386467,-0.0223402139,1.6359000792,19.7763662885,0.1072621464,2.1279567841,0,0,1464,1565,40.048482796,-88.23270443,40.0484851667,-88.2327006667,0.2941994965,0.6864655018,-10.8853816986,-0.0766199518,0.0181514236,0.0020943951,0,0,0,0,0,205144,-0.071344018,0.1316629648,0.1622297764,0.157447502,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,277,151
16,1527886329309,1097309, RC,0,40.0483048792,-88.2326839842,0,1.4931627935,22.1524019801,22.2026676013,1.8562798381,19.78199999,0.1633333862,0.0277507357,1.6559010508,19.7773313234,0.1174373097,2.1189758572,0,0,1464,1565,40.048482783,-88.2327049223,40.0484851667,-88.2327006667,-0.3922660053,-0.9806650281,-9.8066501617,0.0383972444,0.0766199518,0.0319395261,0,0,0,0,0,205144,-0.071344018,0.1316629648,0.1241554469,0.2025113255,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,263,160
17,1527886329510,1097510, RC,0,40.0483048792,-88.2326839842,0,1.5149131146,22.1538499024,22.2055854965,1.8847179095,19.789728038,0.1625976413,-0.0904080523,1.6776513719,19.7787792457,0.1279004125,2.1181049801,0,0,1500,1565,40.0484828525,-88.232705269,40.0484851667,-88.232701,-1.0787315369,-0.3922660053,-6.7665886879,-0.1659808159,0.1820378463,-0.1617920296,0,0,0,0,0,205144,0.0,0.1316629648,0.110176459,0.2150188237,90,45,45,0,0,0,42.7559967041,16.7000007629,0,2,10,1,276,169
18,1527886329711,1097711, RC,0,40.0483048792,-88.2326839842,0,1.5387447268,22.1555759432,22.2089459613,1.9206053357,19.7926005732,0.1617699414,-0.0394444409,1.7014829841,19.7805052865,0.1386120264,2.0948553824,0,0,1500,1565,40.0484828783,-88.2327056918,40.0484851667,-88.232701,0.8825985193,-0.8825985193,-10.9834480286,-0.0925024537,-0.005235988,0.1256637028,0,0,0,0,0,205144,0.0,0.1316629648,0.1357432753,0.1877966076,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,284,178
19,1527886329912,1097912, RC,0,40.0483048792,-88.2326839842,0,1.5639334992,22.1578259077,22.2129497579,1.942959325,19.800680738,0.1453998089,-0.0394444409,1.7266717565,19.782755251,0.1476791912,2.0798471453,0,0,1500,1565,40.048482951,-88.2327059873,40.0484851667,-88.232701,1.0787315369,0.0980665013,-11.0815143585,0.1075122793,-0.1394518032,0.0584685283,0,0,0,0,0,205144,0.0,0.1316629648,0.1476989985,0.1431006342,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,255,187
20,1527886330112,1098112, RC,0,40.0483048792,-88.2326839842,0,1.5639334992,22.1578259077,22.2129497579,1.942959325,19.800680738,0.1534929276,-0.0394444409,1.7266717565,19.782755251,0.1476791912,2.0798471453,0,0,1500,1565,40.048482951,-88.2327059873,40.0484851667,-88.232701,0.1961330026,-2.2555296421,-8.6298522949,0.1150172004,-0.0106465087,-0.0191986222,0,0,0,0,0,205144,0.0,0.1316629648,0.1649888009,0.1419970542,90,45,45,0,0,0,42.2180023193,16.6000003815,0,2,10,1,246,196
21,1527886330313,1098313, RC,0,40.0483048792,-88.2326839842,0,1.618753576,22.1625866722,22.2216248538,1.9975404045,19.8042760407,0.1550563574,0.0500909475,1.7814918333,19.7875160155,0.1589541664,2.0744196612,0,0,1478,1578,40.0484829833,-88.2327066727,40.0484851667,-88.232701,0.7845320106,-1.3729310036,-10.7873153687,0.0584685283,-0.2000147329,-0.0776671484,0,0,0,0,0,205145,-0.0435929894,0.1563489437,0.1570796221,0.1530330777,90,45,45,0,0,0,41.6790008545,16.6000003815,0,2,10,1,213,205
22,1527886330514,1098514, RC,0,40.0483048792,-88.2326839842,0,1.6477990508,22.1640401442,22.225209048,2.0346529498,19.7923596512,0.1798874438,0.0361283144,1.8105373081,19.7889694875,0.1598761125,2.0741196913,0,0,1478,1578,40.0484828762,-88.2327070938,40.0484853333,-88.2327025,-0.1961330026,-0.0980665013,-10.4931163788,0.0127409039,-0.005235988,-0.1586504317,0,0,0,0,0,205145,-0.0435929894,0.1563489437,0.1489865333,0.2107883543,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,205,214
23,1527886330714,1098714, RC,0,40.0483048792,-88.2326839842,0,1.6753933744,22.1650220646,22.2282510801,2.0530304276,19.7849651888,0.1963495314,-0.1127482703,1.8381316317,19.7899514079,0.1624847032,2.0711542672,0,0,1500,1578,40.0484828097,-88.2327073102,40.0484853333,-88.2327025,-1.3729310036,-1.0787315369,-8.9240512848,0.1031489561,-0.0467748251,-0.1054178862,0,0,0,0,0,205145,0.0,0.1563489437,0.1659084558,0.226790607,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,154,224
24,1527886330915,1098915, RC,0,40.0483048792,-88.2326839842,0,1.7052664607,22.1662808365,22.2317777027,2.1011280276,19.7961588116,0.1964415014,-0.1085594758,1.868004718,19.7912101798,0.1646488905,2.0409134986,0,0,1500,1578,40.0484829103,-88.2327078795,40.0484853333,-88.2327025,-0.6864655018,-0.3922660053,-10.4931163788,0.0734783622,-0.0467748251,-0.0797615498,0,0,0,0,0,205145,0.0,0.1563489437,0.1751051545,0.2177778482,90,45,45,0,0,0,42.7559967041,16.6000003815,0,2,10,1,144,233
25,1527886331116,1099116, RC,0,40.0483048792,-88.2326839842,0,1.7052664607,22.1662808365,22.2317777027,2.1011280276,19.7961588116,0.2026952505,-0.1085594758,1.868004718,19.7912101798,0.1646488905,2.0409134986,0,0,1500,1578,40.0484829103,-88.2327078795,40.0484853333,-88.2327025,0.490332514,-0.490332514,-11.8660469055,0.1340412836,0.0851720695,-0.1192059866,0,0,0,0,0,205145,0.0,0.1563489437,0.2025113255,0.2028791904,90,45,45,0,0,0,43.2939987183,16.6000003815,0,2,10,1,118,242
26,1527886331316,1099316, RC,0,40.0483048792,-88.2326839842,0,1.7638799738,22.1657393766,22.2358106367,2.143300756,19.7725113562,0.1949700117,-0.1638864228,1.9266182311,19.7906687199,0.1690819653,2.042793557,0,0,1438,1578,40.0484826977,-88.2327084628,40.0484853333,-88.2327025,-0.3922660053,-0.3922660053,-10.0027828217,0.0724311656,0.1692969341,0.017104227,0,0,0,0,0,205146,-0.1227110028,0.1563489437,0.178967759,0.2109722793,90,45,45,0,0,0,43.2939987183,16.6000003815,0,2,10,1,105,251
