,(0)linux time (ms),    (1)uptime  (ms),      (2)drive mode,(3)mpc step counter,(4)mpc origin latitude  (deg),(5)mpc origin longitude  (deg),(6)closest trajectory point index to robot,(7)mpc error x (W;E)  (m),(8)mpc error y (W;E)  (m),(9)abs mpc error (m),(10)input [x] for mhe (m),(11)input [y] for mhe (m),(12)input [speed] for mhe (m/s),(13)input [vyaw] for mhe (rad/s),(14)mhe output x  (m),(15)mhe output y  (m),(16)mhe output speed  (m/s),(17)mhe output yaw  (rad),(18)mpc reference heading (rad),(19)mpc turn rate command (rad/s),(20)turn rate command as PWM,(21)throttle command as PWM,(22)primary gps latitude (deg),(23)primary gps longitude (deg),(24)secondary gps latitude  (deg),(25)secondary gps longitude (deg),(26)accelerometer x (m/s^2),(27)accelerometer y (m/s^2),(28)accelerometer z (m/s^2),(29)gyro yaw rate (rad/s),(30)gyro pitch rate   (rad/s),(31)gyro roll rate (rad/s),      (32)yaw (rad),  (33)pitch   (rad),     (34)roll (rad),(35)sonar1 measurement (m),(36)ultrasonic sensor measurement (m),(37)primary gps time (s),(38)normalized turn rate command,(39)normalized throttle command,(40)speed calculation from encoder left (m/s),(41)speed calculation from encoder right (m/s),(42)front gimbal target angle (degrees from straight down),(43)left gimbal target angle  (degrees from straight down),(44)right gimbal target angle  (degrees from straight down),(45)front gimbal measured angle  (degrees from straight down),(46)left gimbal measured angle    (degrees from straight down),(47)right gimbal measured angle  (degrees from straight down),(48)internal temperature (C),(49)battery voltage (V),(50)primary gps type,(51)secondary gps type,    (52)MPC R value, (53)MPC Q[0] value,Unnamed: 54,weed_num,start
0,1530572480254,71254, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.3159066439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3980331421,0.2337801158,90.0,90.0,90.0,89.3814163208,90.0816955566,88.681137085,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,138,1280
1,1530572480305,71305, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.233228296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2963176668,0.1701389402,90.0,90.0,90.0,89.6997299194,90.01803588870001,88.8084564209,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,148,1282
2,1530572480355,71355, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.1710586101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2198011279,0.1223160997,90.0,90.0,90.0,89.7633895874,90.3363494873,88.55381011959999,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,161,1284
3,1530572480406,71406, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.1379504949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1795195788,0.096381411,90.0,90.0,90.0,89.7633895874,90.2726821899,88.4901504517,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,148,1287
4,1530572480456,71456, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.1115559638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1465953887,0.0765165389,90.0,90.0,90.0,89.63606262209998,89.8907089233,88.74479675290002,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,158,1289
5,1530572480507,71507, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0797353834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1085210517,0.0509497151,90.0,90.0,90.0,89.5724029541,89.6997299194,88.93578338620001,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,150,1291
6,1530572480558,71558, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0629973933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.08865617960000001,0.0373386033,90.0,90.0,90.0,89.44507598879999,89.5724029541,89.3814163208,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,158,1294
7,1530572480608,71608, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.044512025999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0658483654,0.0231756829,90.0,90.0,90.0,89.3177566528,89.6997299194,89.44507598879999,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,145,1296
8,1530572480659,71659, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0315446779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0500300452,0.013059313400000001,90.0,90.0,90.0,89.1904296875,89.5087432861,89.5724029541,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,165,1298
9,1530572480709,71709, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0247391239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0410172828,0.008460964100000001,90.0,90.0,90.0,89.1904296875,89.3814163208,89.6997299194,44.3690032959,16.258728027300002,27.770000457800002,0,2,25,1,148,1300
10,1530572480760,71760, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0167379938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.030716976200000003,0.0027590097999999996,90.0,90.0,90.0,89.82704925540001,89.3177566528,89.7633895874,44.3690032959,16.269657135,2.7999999523000003,0,2,25,1,141,1303
11,1530572480810,71810, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.013059313400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.025382891299999998,0.0007357360000000001,90.0,90.0,90.0,89.7633895874,89.25408935549999,89.82704925540001,44.3690032959,16.269657135,2.7999999523000003,0,2,25,1,159,1305
12,1530572480861,71861, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0081850626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636528333,-88.2016453333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0182094648,-0.0018393398,90.0,90.0,90.0,89.6997299194,89.5087432861,89.8907089233,44.3690032959,16.269657135,2.7999999523000003,0,2,25,1,152,1307
13,1530572480912,71912, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.005701954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636515,-88.2016483333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.014346852,-0.0029429439000000003,90.0,90.0,90.0,89.63606262209998,89.63606262209998,89.8907089233,44.3690032959,16.269657135,2.7999999523000003,0,2,25,1,141,1310
14,1530572480962,71962, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0031268778000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636515,-88.2016483333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0099324351,-0.0036786796999999996,90.0,90.0,90.0,89.5724029541,89.63606262209998,89.8907089233,44.3690032959,16.269657135,2.7999999523000003,0,2,25,1,137,1312
15,1530572481013,72013, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0012875381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636515,-88.2016483333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.007173426,-0.0045983498,90.0,90.0,90.0,89.5087432861,89.5724029541,89.8907089233,44.3690032959,16.269657135,2.7999999523000003,0,2,25,1,135,1314
16,1530572481063,72063, RC,0,39.9586186,-88.445067899,0,0.0,0.0,0.0,0.0,0.0,0.0001839341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,1500,0.0,0.0,40.0636515,-88.2016483333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0053340858,-0.0049662176,90.0,90.0,90.0,89.5087432861,89.5724029541,89.8907089233,44.3690032959,16.269657135,2.7999999523000003,0,2,25,1,145,1317
